9	3212	16033	0.6136231422424316	4->2->6->7->8->1->5->0->3
10	27023	65484	3.3719208240509033	4->3->1->7->8->6->9->5->2->0
11	168448	310645	18.885345220565796	10->6->9->5->2->8->7->4->1->0->3
12	954217	1992608	115.12495183944702	3->5->6->9->10->4->7->8->1->2->11->0
13	2542712	6432121	353.1520562171936	0->12->11->2->9->5->6->10->8->7->1->3->4
14	82323215	133357012	8998.94641327858	3->11->0->13->12->4->1->2->5->7->8->6->9->10
15	214342700	426555583	25638.297912359238	3->14->13->12->0->11->1->4->2->7->8->6->9->5->10
9	3100	3212	16033	0.5895898342132568	4->2->6->7->8->1->5->0->3
10	5500	27023	65484	3.425917387008667	4->3->1->7->8->6->9->5->2->0
11	5400	168448	310645	19.40962839126587	10->6->9->5->2->8->7->4->1->0->3
9	3212	16033	3100	0.6006472110748291	4->2->6->7->8->1->5->0->3
10	27023	65484	5500	3.380307197570801	4->3->1->7->8->6->9->5->2->0
11	168448	310645	5400	18.9427649974823	10->6->9->5->2->8->7->4->1->0->3
12	954217	1992608	7000	112.32761359214783	3->5->6->9->10->4->7->8->1->2->11->0
13	2542712	6432121	7000	348.655433177948	0->12->11->2->9->5->6->10->8->7->1->3->4
14	82323215	133357012	8000	8960.801141500473	3->11->0->13->12->4->1->2->5->7->8->6->9->10
